T [s];X_acc [G];Y_acc [G];Z_acc [G];HX_acc [G];Pressure [Pa];Kalman pressure [Pa];Temperature [C];Vaxis [m/s];AltitudeFromPressure [m];AltitudeFromAcc [m];State;VelocityPressure [m/s];ParachuteFailureSenseCnt
0,94;3,30831493745401;0,047093451066961;-0,129506990434143;3,17557251908397;99613;99603;3,7;3,2;0;0,2;1;0;0;
0,95;3,09639440765269;0,188373804267844;-0,223693892568065;3,17557251908397;99583;99602;3,7;3,4;0;0,2;1;0;0;
0,96;3,22590139808683;0,0235467255334805;-0,141280353200883;3,17557251908397;99581;99601;3,7;3,6;0;0,3;1;0;0;
0,97;3,28476821192053;0,306107431935246;-0,235467255334805;3,17557251908397;99594;99601;3,4;3,8;0;0,3;1;0;0;
0,98;2,88447387785136;0,235467255334805;-0,44738778513613;2,93129770992366;99609;99601;3,4;4;0;0,4;1;0;0;
0,99;2,84915378955114;0,117733627667403;-0,141280353200883;2,68702290076336;99586;99600;3,4;4,2;0;0,4;1;3,9;0;
1;2,87270051508462;-0,376747608535688;-0,153053715967623;2,68702290076336;99598;99600;3,4;4,4;0;0,4;1;0,8;0;
1,01;2,80206033848418;-0,0706401766004415;-0,235467255334805;2,68702290076336;99604;99600;3,7;4,6;0;0,5;1;-0,7;0;
1,02;3,28476821192053;-0,388520971302428;-0,376747608535688;2,93129770992366;99605;99601;3,7;4,8;0;0,5;1;-0,9;0;
1,03;3,40250183958793;-0,0824135393671818;-0,44738778513613;3,17557251908397;99573;99599;3,4;5;0,1;0,6;1;7,1;0;
1,04;3,36718175128771;-0,0117733627667403;0,282560706401766;3,17557251908397;99610;99600;3,4;5,3;0;0,6;1;-2,4;0;
1,05;3,44959529065489;0,129506990434143;-0,0706401766004415;3,41984732824427;99583;99599;3,7;5,5;0,1;0,7;1;4,5;0;
1,06;3,48491537895511;0,0353200883002208;-0,565121412803532;3,41984732824427;99579;99598;3,4;5,7;0,1;0,7;1;5,3;0;
1,07;3,41427520235467;-0,0235467255334805;-0,247240618101545;3,41984732824427;99587;99598;3,7;6;0,2;0,8;1;3,1;0;
1,08;3,66151582045622;-0,117733627667403;-0,364974245768948;3,41984732824427;99589;99597;3,7;6,2;0,2;0,9;1;2,5;0;
1,09;3,72038263428992;0,259013980868285;-0,117733627667403;3,41984732824427;99593;99597;3,7;6,5;0,2;0,9;1;1,5;0;
1,1;3,48491537895511;0,0353200883002208;-0,141280353200883;3,41984732824427;99583;99596;3,7;6,8;0,2;1;1;3,9;0;
1,11;3,66151582045622;0,223693892568065;-0,200147167034584;3,41984732824427;99607;99596;3,4;7;0,2;1,1;1;-2,2;0;
1,12;3,82634289919058;-0,353200883002208;0,094186902133922;3,41984732824427;99600;99596;3,7;7,3;0,2;1,1;1;-0,3;0;
1,13;3,72038263428992;-0,117733627667403;0,200147167034584;3,41984732824427;99601;99596;3,7;7,6;0,2;1,2;1;-0,6;0;
1,14;3,626195732156;0,0117733627667403;-0,164827078734364;3,41984732824427;99574;99595;3,4;7,8;0,3;1,3;1;6,2;0;
1,15;3,59087564385578;0,48270787343635;-0,164827078734364;3,41984732824427;99592;99595;3,7;8,1;0,3;1,4;1;1,4;0;
1,16;3,73215599705666;0,270787343635026;-0,117733627667403;3,41984732824427;99595;99595;3,7;8,3;0,3;1,4;1;0,6;0;
1,17;3,69683590875644;-0,176600441501104;-0,141280353200883;3,66412213740458;99581;99594;3,7;8,6;0,3;1,5;1;4,2;0;
1,18;3,99116997792494;-0,317880794701987;-0,259013980868285;3,66412213740458;99582;99593;3,4;8,9;0,4;1,6;1;3,8;0;
1,19;4,14422369389257;-0,200147167034584;0;3,90839694656489;99580;99592;3,4;9,2;0,4;1,7;1;4,2;0;
1,2;3,82634289919058;-0,247240618101545;0,376747608535688;3,90839694656489;99587;99592;3,7;9,5;0,4;1,8;1;2,3;0;
1,21;3,82634289919058;-0,141280353200883;-0,0117733627667403;3,90839694656489;99571;99591;3,7;9,8;0,5;1,9;1;6,3;0;
1,22;4,13245033112583;0,376747608535688;-0,247240618101545;3,90839694656489;99564;99589;3,7;10,1;0,6;2;2;7,8;0;
1,23;4,13245033112583;-0,376747608535688;0,047093451066961;3,90839694656489;99571;99588;3,7;10,4;0,6;2,1;2;5,8;0;
1,24;4,02649006622517;0,0353200883002208;-0,788815305371597;3,90839694656489;99584;99588;3,4;10,7;0,7;2,2;2;2,4;0;
1,25;4,13245033112583;0,0353200883002208;0,223693892568065;3,90839694656489;99583;99587;3,4;11;0,7;2,3;2;2,5;0;
1,26;4,09713024282561;0,223693892568065;-0,211920529801325;3,90839694656489;99568;99586;3,4;11,3;0,8;2,4;2;6,3;0;
1,27;4,23841059602649;-0,153053715967623;-0,094186902133922;4,15267175572519;99597;99586;3,7;11,6;0,7;2,5;2;-1,2;0;
1,28;4,23841059602649;-0,0824135393671818;0,294334069168506;4,15267175572519;99559;99584;3,7;11,9;0,8;2,7;2;8,4;0;
1,29;4,36791758646063;0,223693892568065;-0,247240618101545;4,15267175572519;99560;99583;3,7;12,3;0,9;2,8;2;7,9;0;
1,3;4,26195732155997;-0,0706401766004415;-0,129506990434143;4,15267175572519;99571;99582;3,4;12,6;1;2,9;2;4,9;0;
1,31;4,43855776306107;0,117733627667403;-0,094186902133922;4,15267175572519;99574;99581;3,7;12,9;1;3;2;4;0;
1,32;4,42678440029433;0,129506990434143;-0,117733627667403;4,3969465648855;99567;99580;3,4;13,3;1,1;3,2;2;5,6;0;
1,33;4,532744665195;-0,0824135393671818;-0,0824135393671818;4,3969465648855;99558;99578;3,7;13,6;1,1;3,3;2;7,7;0;
